1 2 3 4 0 0 0 0 0 0
1 5 2 6 0 0 0 0 0 0
8 7 1 3 0 0 0 0 0 0
9 10 4 1 0 0 0 0 0 0
7 1 5 9 0 0 0 0 0 0
8 10 1 6 0 0 0 0 0 0
3 2 9 6 0 0 0 0 0 0
10 2 7 4 0 0 0 0 0 0
2 10 5 8 0 0 0 0 0 0
9 7 2 8 0 0 0 0 0 0
3 10 9 5 0 0 0 0 0 0
3 6 10 7 0 0 0 0 0 0
3 5 4 8 0 0 0 0 0 0
7 5 6 4 0 0 0 0 0 0
9 6 8 4 0 0 0 0 0 0
2 3 1 4 0 0 0 0 0 0
1 2 5 6 0 0 0 0 0 0
8 1 7 3 0 0 0 0 0 0
9 10 1 4 0 0 0 0 0 0
1 7 5 9 0 0 0 0 0 0
10 8 1 6 0 0 0 0 0 0
2 9 3 6 0 0 0 0 0 0
2 10 7 4 0 0 0 0 0 0
2 5 10 8 0 0 0 0 0 0
2 9 8 7 0 0 0 0 0 0
3 9 5 10 0 0 0 0 0 0
3 6 10 7 0 0 0 0 0 0
3 5 4 8 0 0 0 0 0 0
7 5 6 4 0 0 0 0 0 0
6 8 9 4 0 0 0 0 0 0
