1 9 2 10 4 6 3 5 11 12 14 15 17 7 8 19 21 16 13 20 18 22 23 28 25 29 24 27 26 30
9 1 2 10 5 11 6 12 13 3 4 14 7 17 18 8 19 15 21 23 22 20 16 26 25 28 27 24 29 30
1 2 9 10 13 5 6 12 11 4 3 15 8 7 17 18 14 24 20 19 26 23 22 21 25 16 29 27 28 30
1 9 2 10 3 6 12 11 4 5 14 17 13 7 8 18 19 15 22 21 20 23 24 25 27 26 16 28 29 30
1 2 10 9 5 6 11 3 4 13 12 15 7 14 8 17 18 24 20 19 26 22 23 21 25 29 27 16 30 28
1 10 2 9 4 5 3 6 13 12 14 7 11 17 8 19 18 15 16 22 20 25 21 23 24 26 27 28 29 30
1 2 6 4 10 3 15 7 5 8 9 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
1 2 11 10 3 5 6 4 7 8 9 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
4 1 2 11 3 6 9 10 5 7 8 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
6 2 1 4 3 10 9 5 7 8 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
1 4 6 10 11 22 27 13 2 3 5 7 8 9 12 14 15 16 17 18 19 20 21 23 24 25 26 28 29 30
6 2 1 10 4 3 5 9 7 8 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
6 4 10 26 18 14 24 16 1 2 3 5 7 8 9 11 12 13 15 17 19 20 21 22 23 25 27 28 29 30
1 6 4 8 26 3 18 20 2 5 7 9 10 11 12 13 14 15 16 17 19 21 22 23 24 25 27 28 29 30
4 1 10 2 3 18 6 9 5 7 8 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 30
1 2 4 3 15 9 6 28 5 7 8 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 29 30
6 11 1 4 21 9 2 8 3 5 7 10 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30
1 6 4 2 9 8 29 10 3 5 7 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30
6 18 1 10 3 22 20 26 2 4 5 7 8 9 11 12 13 14 15 16 17 19 21 23 24 25 27 28 29 30
1 6 19 4 14 18 20 9 2 3 5 7 8 10 11 12 13 15 16 17 21 22 23 24 25 26 27 28 29 30
6 4 9 1 26 20 23 3 2 5 7 8 10 11 12 13 14 15 16 17 18 19 21 22 24 25 27 28 29 30
1 2 4 6 26 3 23 20 5 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 24 25 27 28 29 30
9 4 3 1 6 30 13 20 2 5 7 8 10 11 12 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29
6 1 18 11 8 3 27 25 2 4 5 7 9 10 12 13 14 15 16 17 19 20 21 22 23 24 26 28 29 30
1 2 6 4 14 8 11 15 3 5 7 9 10 12 13 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
6 1 10 4 18 29 15 11 2 3 5 7 8 9 12 13 14 16 17 19 20 21 22 23 24 25 26 27 28 30
22 5 9 14 6 7 8 28 1 2 3 4 10 11 12 13 15 16 17 18 19 20 21 23 24 25 26 27 29 30
6 4 10 1 18 8 27 25 2 3 5 7 9 11 12 13 14 15 16 17 19 20 21 22 23 24 26 28 29 30
26 11 10 23 15 8 21 12 1 2 3 4 5 6 7 9 13 14 16 17 18 19 20 22 24 25 27 28 29 30
28 2 18 8 10 19 23 11 1 3 4 5 6 7 9 12 13 14 15 16 17 20 21 22 24 25 26 27 29 30
1 25 8 9 7 14 20 6 2 3 4 5 10 11 12 13 15 16 17 18 19 21 22 23 24 26 27 28 29 30
1 4 8 6 10 14 11 7 2 3 5 9 12 13 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
1 6 21 5 9 27 11 13 2 3 4 7 8 10 12 14 15 16 17 18 19 20 22 23 24 25 26 28 29 30
10 1 16 23 21 11 18 15 2 3 4 5 6 7 8 9 12 13 14 17 19 20 22 24 25 26 27 28 29 30
